09.06.2023. 12:27:06 INFO  [AuthenticationController] User email@mail.com not found.
09.06.2023. 12:27:06 INFO  [AuthenticationController] User email@mail.com has been successfully authenticated.
09.06.2023. 12:27:07 INFO  [UserController      ] User email@mail.com was successfully found!
09.06.2023. 12:27:10 INFO  [UserController      ] User email@mail.com has successfully edited the data.
09.06.2023. 12:27:11 INFO  [SkillController     ] Skills successfully loaded!
09.06.2023. 12:27:14 INFO  [SkillController     ] Successfully changed value of the Java skill.
09.06.2023. 12:27:14 INFO  [UserController      ] User email@mail.com was successfully found!
09.06.2023. 12:27:15 INFO  [SkillController     ] Skills successfully loaded!
09.06.2023. 12:27:19 INFO  [SkillController     ] New skill successfully added!
09.06.2023. 12:27:19 INFO  [UserController      ] User email@mail.com was successfully found!
09.06.2023. 12:27:23 INFO  [ProjectController   ] The description of the Mobile App Development project has been successfully modified !
09.06.2023. 12:27:23 INFO  [UserController      ] User email@mail.com was successfully found!
